objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Adventure Games: The Volcanic Island","284082","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","130674393","5.59056","5.884","2.05","9901","2820","thing","Adventure Games: The Volcanic Island","1","4","75","75","75","2019","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"The Adventures of Robin Hood","326494","7","1","0","1","0","0","0","0","0","0","0","1","","","","","","134561748","6.77793","7.42036","1.8287","783","12860","thing","The Adventures of Robin Hood","2","4","60","60","60","2021","1,2,3,4","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon Trespass: Odyssey","242705","0","0","0","0","0","1","0","0","0","0","0","3","","","","","","132525527","6.92965","8.98797","4.7476","587","5573","thing","Aeon Trespass: Odyssey","1","4","90","0","90","2022","1,2,3,4","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End","191189","8","7","0","1","0","0","0","0","0","0","0","1","","","","","","77691325","7.57913","7.86343","2.8003","108","34735","thing","Aeon's End","1","4","60","60","60","2016","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End: The Nameless","212139","0","0","0","0","0","1","0","0","0","0","0","1","","","","","","137285448","6.65027","8.34461","2.84","0","9399","thing","Aeon's End: The Nameless","1","4","60","60","60","2017","1,2,3,4","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Aeon's End: The New Age","270633","0","0","0","0","0","1","0","0","0","0","0","3","","","","","","137280143","7.19959","8.48266","2.9103","305","8698","thing","Aeon's End: The New Age","1","4","60","60","60","2019","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End: War Eternal","218417","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","77691500","7.46162","8.2265","2.9249","149","14886","thing","Aeon's End: War Eternal","1","4","60","60","60","2017","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Wonders: Planetfall","353848","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","130185784","5.69612","7.0319","2.125","6366","578","thing","Age of Wonders: Planetfall","2","6","40","40","20","2022","2,3,4,5,6","3,4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Agents of SMERSH","111105","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132562428","6.0955","6.93034","2.4848","2663","3081","thing","Agents of SMERSH","1","4","90","90","90","2012","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola: Family Edition","205418","0","0","0","0","0","0","0","0","1","0","0","1","","Returned","","","","48206321","6.36329","7.03438","2.3978","1673","6901","thing","Agricola: Family Edition","1","4","45","45","45","2016","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Alhambra","6249","5","0","0","0","0","0","0","0","0","0","0","3","","","","","","47622968","6.90688","7.03564","2.0974","611","45790","thing","Alhambra","2","6","60","60","45","2003","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"ALIEN: Fate of the Nostromo","332321","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","132362972","6.30944","7.0522","1.9391","1824","8640","thing","ALIEN: Fate of the Nostromo","1","5","60","60","45","2021","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Amerigo","137408","0","0","0","0","0","0","0","0","1","0","0","1","","","","","","43500663","6.90901","7.43309","2.9719","605","8003","thing","Amerigo","2","4","90","90","90","2013","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Android","39339","7","1","0","0","0","0","0","1","1","0","0","4","","Sold @ OOP Convention","","","","48569842","6.25919","6.74061","3.9621","2005","6424","thing","Android","3","5","180","180","180","2008","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Android: Infiltration","118063","6","0","0","1","1","0","0","0","0","0","0","1","","","","","","78751427","6.09429","6.50277","2.1008","2671","5367","thing","Android: Infiltration","2","6","45","45","30","2012","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Andromeda's Edge","358661","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","130922065","7.39442","8.2527","3.745","179","10535","thing","Andromeda's Edge","2","4","160","160","80","2024","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Apples to Apples","74","3","0","2","0","0","0","0","0","1","0","0","1","","Sold @ Google","","","","3493727","5.62785","5.73927","1.1527","8182","31420","thing","Apples to Apples","4","10","30","30","20","1999","4,5,6,7,8,9,10","6,7,8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Apprentice Game","16530","0","0","0","0","0","0","0","0","1","0","0","3","","Sold to Noble Knight for Store Credit","","","","11772721","5.47635","4.11395","1.1667","29156","91","thing","The Apprentice Game","2","2","60","60","60","2005","2","2","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror (Third Edition)","257499","8","2","0","0","0","0","0","0","0","0","1","4","","","","","","71256563","7.13885","7.67632","3.3733","355","21693","thing","Arkham Horror (Third Edition)","1","6","180","180","120","2018","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","10","2","0","1","0","0","0","0","0","0","0","1","","Own 3 copies","","","","68463683","7.88989","8.11935","3.5658","32","83459","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","463126","0","0","0","0","0","1","1","0","0","0","0","3","","","","","","143883112","6.06039","8.94433","3.871","2856","2291","thing","Arkham Horror: The Card Game","1","4","120","120","60","2026","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Blood on the Altar: Mythos Pack","216556","0","0","0","1","0","0","0","0","0","0","0","1","","Cycle: The Dunwich Legacy #5","","","","78752286","6.50624","8.22057","3.5385","0","11510","thing","Arkham Horror: The Card Game – Blood on the Altar: Mythos Pack","1","4","120","120","60","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Carnevale of Horrors: Scenario Pack","215510","0","0","0","0","0","1","0","1","0","0","1","3","","","","","","143883084","6.41711","8.19433","3.5882","0","10351","thing","Arkham Horror: The Card Game – Carnevale of Horrors: Scenario Pack","1","4","120","120","60","2016","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Edge of the Earth: Campaign Expansion","340035","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","137045679","6.41318","8.57531","3.8","0","8972","thing","Arkham Horror: The Card Game – Edge of the Earth: Campaign Expansion","1","4","180","180","45","2021","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Edge of the Earth: Investigator Expansion","340036","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132728428","6.22578","8.65678","3.7692","0","8148","thing","Arkham Horror: The Card Game – Edge of the Earth: Investigator Expansion","1","4","180","180","45","2021","1,2,3,4","2,3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
