objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"CIA: Collect It All","251642","2","1","0","0","0","0","0","0","1","0","0","3","","Gave away at Seattle Math Trade 2/8/2025","","","","58458290","5.47656","4.84057","1.2","29146","379","thing","CIA: Collect It All","2","5","30","30","30","2018","2,3","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Citadels","478","7.5","0","0","1","0","0","0","0","0","0","0","1","","","","","","3493879","6.9295","7.05353","2.0466","588","79346","thing","Citadels","2","8","60","60","20","2000","2,3,4,5,6,7","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"City of Remnants","133528","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","126579560","5.92831","6.77517","3.1299","3643","2133","thing","City of Remnants","2","4","90","90","90","2013","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Clue","1294","6","0","0","1","0","0","0","0","0","0","0","1","","","","","","3493905","5.57347","5.68539","1.6416","11031","42699","thing","Clue","2","6","45","45","45","1949","3,4,5,6","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Clue: Treachery at Tudor Mansion","369483","4","1","0","0","0","0","0","0","1","0","0","1","","Given to EA at Amazon","","","","124774983","5.60273","6.30894","1.4","9260","1555","thing","Clue: Treachery at Tudor Mansion","1","6","90","90","90","2022","1,2,3,4","2,4","6–12","","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames","178900","6","0","0","1","0","0","0","0","0","0","0","1","","","","","","42793164","7.42841","7.52494","1.2553","162","179927","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames: Disney – Family Edition","220775","6","0","0","0","0","0","0","0","1","0","0","1","","Gifted to MIL","","","","48215502","6.1221","6.58254","1.2286","2550","11489","thing","Codenames: Disney – Family Edition","2","8","15","15","15","2017","4,5,6,7,8","6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Coloretto","5782","6","0","0","1","0","0","0","0","1","0","0","1","","","","","","38505808","6.8198","6.98115","1.2703","731","31424","thing","Coloretto","2","5","30","30","30","2003","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Colt Express","158899","0","0","0","0","0","0","0","0","1","0","0","1","","Returned","","","","56643769","6.95241","7.09633","1.8359","556","51368","thing","Colt Express","2","6","40","40","40","2014","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Comic Book Killer","419420","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127744656","0","6.33333","0","0","11","thing","Comic Book Killer","1","4","180","180","90","2024","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Concordia","124361","7","0","0","0","0","0","0","0","0","0","0","3","","","","","","140968767","7.92572","8.07697","2.9881","29","51672","thing","Concordia","2","5","100","100","100","2013","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cooper Island","269511","0","0","0","0","0","0","0","0","1","0","0","3","","Knight & Day Game Mystery Bag at Dice Tower West 2026. Sold for $20","","","","143540699","6.82241","7.54942","4.16","723","7946","thing","Cooper Island","1","4","120","120","60","2019","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Encounter","39463","5","0","0","0","0","0","0","0","1","0","0","1","","Returned","","","","59520234","7.31461","7.50742","2.5814","230","43572","thing","Cosmic Encounter","3","5","120","120","60","2008","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup","131357","7","5","0","1","0","0","0","0","0","0","0","1","","","","","","47622962","6.83164","6.97511","1.4152","713","93284","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup: Bureaucrat Promo Card","374732","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131460100","0","7.17917","1","0","195","thing","Coup: Bureaucrat Promo Card","2","10","20","20","10","2017","4,5,6,7,8","4,5","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Coup: Jester Promo Card","186524","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","131460092","5.57527","7.32949","1","0","1074","thing","Coup: Jester Promo Card","2","10","20","20","10","2015","3,4,5,6","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Coup: Rebellion G54","148943","5","0","0","0","0","0","0","0","1","0","0","3","","","","","","131748033","6.29489","6.98238","1.9529","1881","7811","thing","Coup: Rebellion G54","3","6","15","15","15","2014","3,4,5,6","5,6","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup: Reformation","148931","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","131459928","6.71184","7.25253","1.6025","0","21474","thing","Coup: Reformation","2","10","15","15","15","2013","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Cozy Stickerville","456440","8","5","0","1","0","0","0","0","0","0","0","3","","","","","","144280993","6.60994","8.34614","1.2034","1079","5033","thing","Cozy Stickerville","1","6","30","30","30","2026","1,2,3","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cranium","891","4","0","0","0","0","0","0","0","1","0","0","1","","","","","","3493835","5.57519","5.68459","1.4158","10900","20829","thing","Cranium","4","99","60","60","60","1998","4,5,6,7,8,9,10,11,12,14,16","8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Cranium: Hoopla","4424","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","11773020","5.68445","6.18512","1.2708","6634","2249","thing","Cranium: Hoopla","2","99","20","20","20","2002","2,3,4,5,6,7","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: The Quest for Planet Nine","284083","5","0","0","0","0","0","0","0","0","0","0","3","","","","","","79058625","7.61689","7.756","1.9659","93","93370","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cryptid","246784","4","2","0","0","0","0","0","0","0","0","0","5","","","","","","70523758","7.16211","7.42511","2.2551","337","23443","thing","Cryptid","3","5","50","50","30","2018","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cthulhu: Death May Die","253344","10","2","0","0","0","0","0","0","0","0","1","5","","Scott owns this","","","","70224007","7.76128","8.18244","2.5","54","28222","thing","Cthulhu: Death May Die","1","5","120","120","90","2019","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cthulhu: Death May Die – Fear of the Unknown","373600","10","11","0","1","0","0","0","0","0","0","0","1","","","","","","136213800","6.72855","8.71982","2.6977","858","7277","thing","Cthulhu: Death May Die – Fear of the Unknown","1","5","90","90","90","2024","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cthulhu: Death May Die – Forbidden Reaches","433640","0","0","0","0","0","0","1","1","0","0","0","3","","","","","","141432512","0","7.75882","3.6667","0","185","thing","Cthulhu: Death May Die – Forbidden Reaches","1","5","90","90","90","2026","1,2,3,4","3","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Cthulhu: Death May Die – Season 4 Expansion","374590","0","1","0","0","0","1","0","0","0","0","1","3","","","","","","140252394","5.97522","8.94277","3","0","4537","thing","Cthulhu: Death May Die – Season 4 Expansion","1","5","120","120","90","2024","1,2,3,4","2","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Cthulhu: Death May Die – Unknowable Box","375366","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","139740040","5.75514","8.94147","3.6667","0","3094","thing","Cthulhu: Death May Die – Unknowable Box","1","5","90","90","90","2024","1,2,3,4","2,3","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Cthulhu: Death May Die – Unspeakable Box","256986","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","137321363","6.12313","8.67502","3.125","0","4868","thing","Cthulhu: Death May Die – Unspeakable Box","1","5","0","0","0","2019","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"The Dark and Stormy Night","306950","6","0","0","0","0","0","0","0","1","0","0","3","","Gave to Chris Eck","","","","110632281","0","7.01","0","0","37","thing","The Dark and Stormy Night","1","6","240","240","45","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead Cells: The Rogue-Lite Board Game","380135","0","0","0","0","0","0","0","0","0","0","1","5","","","","","","131732024","6.38231","7.57357","2.3548","1630","4068","thing","Dead Cells: The Rogue-Lite Board Game","1","4","45","45","45","2024","1,2,3","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","7","3","0","0","0","0","0","0","1","0","0","1","","Returned","","","","59520932","7.27128","7.43964","3.0143","251","69478","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Decktective: Bloody-Red Roses","286827","2","0","0","0","0","0","0","0","1","0","0","3","","Gave away for free in a puzzle game trade. This is how worthless this game is to me.","","","","118791304","5.76745","6.49496","1.1667","5182","1571","thing","Decktective: Bloody-Red Roses","1","6","60","60","60","2019","2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deep Regrets","397931","0","0","0","0","0","1","0","1","0","0","1","3","","","","","","134739030","6.46194","7.31681","2.33","1413","7803","thing","Deep Regrets","1","5","150","150","30","2025","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Detective Club","256788","0","0","0","1","0","0","0","0","1","0","0","3","","Dixit + Spyfall. Packed into Dixit Box","","","","132607614","6.71604","7.35523","1.2308","879","8083","thing","Detective Club","4","8","45","45","45","2018","5,6,7,8","6,7","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Detective:  L.A. Crimes","264005","9","0","0","0","0","0","0","0","1","0","0","3","","Traded with Scott Yost","","","","92121757","6.24351","7.70471","3.0556","0","5401","thing","Detective:  L.A. Crimes","1","5","180","180","120","2019","1,2,3,4,5","2,3","16+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Detective: A Modern Crime Board Game","223321","10","5","0","0","0","0","0","0","1","0","0","1","","Traded for Unlock","","","","56618773","7.16015","7.606","2.7438","340","24473","thing","Detective: A Modern Crime Board Game","1","5","180","180","120","2018","1,2,3,4","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Detective: A Modern Crime Board Game – Case 6: Suburbia","262328","6","0","0","1","0","0","0","0","0","0","0","1","","","","","","70027214","5.76232","7.31107","2.25","0","1577","thing","Detective: A Modern Crime Board Game – Case 6: Suburbia","1","5","120","120","90","2018","1,2,3,4","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Detective: A Modern Crime Board Game – Season One","293531","6","2","0","0","0","0","0","0","0","0","0","3","","","","","","76029896","5.97153","6.83466","2.0312","3354","4139","thing","Detective: A Modern Crime Board Game – Season One","1","5","120","120","90","2020","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Detective: Bullets over Hollywood","237900","0","0","0","0","0","1","0","1","0","0","1","3","","","","","","143356093","5.79805","8.38373","2.8889","0","3476","thing","Detective: Bullets over Hollywood","1","5","150","150","30","2019","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Detective: City of Angels","218074","8","2","0","0","0","0","0","0","0","0","0","3","","Jessica owns this","","","","143355335","6.87778","7.8518","2.3596","641","8772","thing","Detective: City of Angels","1","5","150","150","30","2019","1,2,3,4,5","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Detective: City of Angels – Cloak & Daggered","335914","0","0","0","0","0","1","0","1","0","0","1","3","","","","","","143356084","5.55555","8.31132","0","0","718","thing","Detective: City of Angels – Cloak & Daggered","1","5","90","90","60","2021","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Detective: Heists & Heartbreak","443875","0","0","0","0","0","1","0","1","0","0","1","3","","","","","","143356065","0","8.11111","1","0","180","thing","Detective: Heists & Heartbreak","1","5","150","150","30","2026","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Detective: Saints & Sinners","388374","0","0","0","0","0","1","0","1","0","0","1","3","","","","","","143356071","5.55411","8.62045","2","0","891","thing","Detective: Saints & Sinners","1","5","120","120","120","2023","1","1","14+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Detective: Signature Series – Dig Deeper","299442","9","2","0","0","0","0","0","0","1","0","0","1","","Traded for The Adventure Game - Monochrome","","","","75587727","5.82537","7.31856","2.6","0","2588","thing","Detective: Signature Series – Dig Deeper","1","5","120","120","90","2020","1,2,3,4","2,3","14+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Detective: Signature Series – Petty Officers","315275","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","88875927","5.54221","6.32169","1.8","0","951","thing","Detective: Signature Series – Petty Officers","1","5","120","120","90","2021","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Detective: Smoke and Mirrors","287075","0","0","0","0","0","1","0","1","0","0","1","3","","","","","","143356038","5.73053","8.47284","2.6667","0","2732","thing","Detective: Smoke and Mirrors","1","5","120","120","45","2020","1","1","14+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Dice City","179572","6","1","0","1","0","0","0","0","0","0","0","1","","","","","","90044136","6.32953","6.70921","2.0168","1770","9016","thing","Dice City","1","4","60","60","45","2015","1,2,3","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Town","40793","0","0","0","0","0","0","0","0","0","0","0","2","","","","","","132607684","6.54989","6.8748","1.6883","1196","10326","thing","Dice Town","2","5","45","45","45","2009","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dilbert: Corporate Shuffle","1814","5","0","0","0","0","0","0","0","1","0","0","1","","Lost","","","","3493864","5.59474","5.95961","1.3065","9671","1174","thing","Dilbert: Corporate Shuffle","4","6","15","15","15","1997","5,6","6","8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Disappearance of Cadet Turner","373983","4","0","0","0","0","0","0","0","1","0","0","3","","","","","","129761408","0","5","0","0","6","thing","The Disappearance of Cadet Turner","1","6","180","180","150","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: The Worst Takes it All","256382","5","0","0","0","0","0","0","0","0","0","0","3","","","","","","70176784","6.67935","6.90996","2.4818","949","54385","thing","Disney Villainous: The Worst Takes it All","2","6","120","120","45","2018","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Divinity Original Sin: The Board Game","294378","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","88905538","5.88087","8.17945","3.2051","4016","1591","thing","Divinity Original Sin: The Board Game","1","4","120","120","45","2023","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit","39856","7","1","1","1","0","0","0","0","0","0","0","1","","","","","","38505872","7.0658","7.18081","1.1921","425","108285","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit: Odyssey","92828","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","38505763","7.14316","7.37913","1.1605","351","34993","thing","Dixit: Odyssey","3","12","30","30","30","2011","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit: Odyssey (expansion)","138547","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132606670","6.08493","7.58535","1.2963","0","3228","thing","Dixit: Odyssey (expansion)","3","6","30","30","30","2013","3,4,5,6","5,6","6+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit: Origins","145325","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","69873858","6.67876","7.70761","1.275","0","9786","thing","Dixit: Origins","3","6","30","30","30","2013","4,5,6","5,6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit: Quest","55660","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","69873834","7.09712","7.66301","1.2297","0","18568","thing","Dixit: Quest","3","6","30","30","30","2010","4,5,6","5,6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion","36218","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","26622125","7.47442","7.5979","2.3445","145","130363","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion: Alchemy","66098","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","26622134","6.58475","6.92168","2.4461","0","21243","thing","Dominion: Alchemy","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Big Box","142131","0","0","0","1","0","0","0","0","0","0","0","1","","Dominion + Alchemy + Prosperity","","","","77691554","6.2208","7.94318","2.7234","0","3137","thing","Dominion: Big Box","2","4","30","30","30","2010","2,3,4","2","16+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion: Cornucopia","90850","6","0","0","0","0","0","0","0","1","0","0","1","","","","","","38406711","7.03452","7.67246","2.3862","0","15527","thing","Dominion: Cornucopia","2","4","30","30","30","2011","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Guilds","137166","6","0","0","0","0","0","0","0","1","0","0","1","","","","","","38406713","6.83108","7.84926","2.479","0","9852","thing","Dominion: Guilds","2","4","30","30","30","2013","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Hinterlands","104557","0","0","0","0","0","0","0","0","1","0","0","1","","Returned","","","","38406712","7.2462","7.93117","2.5381","0","17725","thing","Dominion: Hinterlands","2","4","30","30","30","2011","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Intrigue","40834","0","0","0","0","0","0","0","0","1","0","0","1","","Returned","","","","38406708","7.50117","7.68601","2.4108","132","51347","thing","Dominion: Intrigue","2","6","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion: Prosperity","66690","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","26622140","7.81702","8.2216","2.4724","0","35029","thing","Dominion: Prosperity","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion: Seaside","51811","0","0","0","0","0","0","0","0","1","0","0","1","","Returned","","","","38406709","7.65151","8.01407","2.4912","0","35774","thing","Dominion: Seaside","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Down the Rabbit Hole","358476","6","4","0","0","0","0","0","0","1","0","0","3","","Given to Emma","","","","110632285","0","7","0","0","20","thing","Down the Rabbit Hole","1","99","180","180","60","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dr. Eureka","181345","3","0","0","0","0","0","0","0","1","0","0","1","","Sold to Preeti for $10","","","","38505770","6.1614","6.54233","1.0588","2366","7689","thing","Dr. Eureka","2","4","15","15","15","2015","2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragonwood","172933","5","0","0","0","0","0","0","0","1","0","0","1","","Sold to Preeti $7","","","","56643594","6.16037","6.56643","1.3571","2369","13461","thing","Dragonwood","2","4","20","20","20","2015","2,3,4","3","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dreadful Circus","329714","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","135014359","5.72824","6.48768","2.25","5769","2162","thing","Dreadful Circus","4","8","45","45","45","2021","4,5,6,7,8","6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dream Home","194880","5","0","0","0","0","0","0","0","1","0","0","3","","Sold for $15","","","","48495841","6.50479","6.85806","1.655","1310","12175","thing","Dream Home","2","4","30","30","30","2016","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune: House Secrets","329713","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133075052","5.37519","5.02425","1.36","30400","3018","thing","Dune: House Secrets","1","4","180","180","90","2021","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune: Imperium","316554","8","3","0","0","0","1","0","1","0","0","1","2","","","","","","77420845","8.22259","8.41235","3.0768","6","77721","thing","Dune: Imperium","1","4","120","120","60","2020","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dweebies","65814","0","0","0","0","0","0","0","0","1","0","0","1","","","","","","38505776","5.59387","5.91163","1.0682","9717","1703","thing","Dweebies","2","6","20","20","20","2010","2,3,4,5","2,3","5–14","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dwellings of Eldervale","271055","0","0","0","0","0","0","0","1","0","0","1","5","TTS Only","","","","","77384685","7.52056","8.10873","3.2392","127","12738","thing","Dwellings of Eldervale","1","5","150","150","60","2020","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Earth","350184","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","132543123","7.35552","7.61946","2.9108","209","34702","thing","Earth","1","5","90","90","45","2023","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Eaten by Zombies!","76247","0","0","0","0","0","0","0","0","1","0","0","3","","Sold at Uncles RTC","","","","126473752","5.59137","5.81559","2.0759","9855","2076","thing","Eaten by Zombies!","2","4","30","30","30","2011","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Edge of Humanity","185262","0","0","0","0","0","1","0","1","0","0","0","3","","","","","","75588985","5.56549","6.24006","2.8333","11689","510","thing","Edge of Humanity","2","5","45","45","30","2017","2,3,4,5","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Eila and Something Shiny","293207","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","126833572","6.60054","7.93982","2.0127","1100","4949","thing","Eila and Something Shiny","1","1","45","45","30","2021","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign","100423","5","3","0","1","0","0","0","0","0","0","0","1","","","","","","134646577","6.77492","6.9669","2.3434","794","44143","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign: Omens of Ice","189807","0","0","0","0","0","1","0","1","0","0","0","1","","","","","","134652074","6.18179","7.63957","2.6111","0","6441","thing","Elder Sign: Omens of Ice","1","8","90","90","60","2016","1,2,3,4","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Omens of the Deep","212572","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","134652080","6.07677","7.79071","2.8182","0","5379","thing","Elder Sign: Omens of the Deep","1","8","90","90","90","2017","1,2,3,4","1,2,3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Omens of the Pharaoh","237226","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","134925338","6.03105","7.95012","3.1818","0","4962","thing","Elder Sign: Omens of the Pharaoh","1","8","120","120","60","2018","1,2,3,4","1,2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Eldritch Horror","146021","9","8","0","1","0","0","0","0","0","0","0","3","","","","","","68465119","7.49179","7.74349","3.3174","137","60204","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Eldritch Horror: Cities in Ruin","220913","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","68764105","6.8481","8.49195","3.0833","0","11235","thing","Eldritch Horror: Cities in Ruin","1","8","240","240","120","2017","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Eldritch Horror: Forsaken Lore","154842","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141431581","7.50573","8.3089","3.1658","0","24262","thing","Eldritch Horror: Forsaken Lore","1","8","180","180","180","2014","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Eldritch Horror: Signs of Carcosa","197586","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","130389713","6.87218","8.34204","3.0968","0","12320","thing","Eldritch Horror: Signs of Carcosa","1","8","240","240","120","2016","1,2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Electronic Pictionary Man","38154","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","11772717","5.47719","5.40586","1.25","29106","1060","thing","Electronic Pictionary Man","2","10","45","45","30","2008","4,5,6,7,8,9,10","4,6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"The Emerald Flame","299371","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","99547964","5.94323","8.31268","3.5385","3533","1665","thing","The Emerald Flame","1","4","540","540","270","2021","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
